tweet_id,retweet_count,favorite_count
866450705531457537,35680,122545
866334964761202691,14636,52750
866094527597207552,8480,0
865718153858494464,5685,25708
865359393868664832,5066,26581
865006731092295680,7791,28133
864873206498414592,8839,32447
864279568663928832,3088,14704
864197398364647424,9085,30330
863907417377173506,4212,20752
863553081350529029,4244,15398
863471782782697472,2499,0
863432100342583297,5354,23984
863427515083354112,99,2279
863079547188785154,1119,8829
863062471531167744,2499,8589
862831371563274240,5177,19321
862722525377298433,3595,17202
862457590147678208,5052,20716
862096992088072192,23769,75236
861383897657036800,10917,36412
861288531465048066,4243,17354
861005113778896900,3888,16886
860981674716409858,2207,0
860924035999428608,842,0
860563773140209665,2207,7584
860524505164394496,5397,23875
860276583193509888,3557,18508
860184849394610176,5970,16877
860177593139703809,31618,0
859924526012018688,4198,19786
859851578198683649,3598,15583
859607811541651456,1613,18824
859196978902773760,31018,91160
859074603037188101,13967,34351
858860390427611136,8371,0
858843525470990336,3570,15753
858471635011153920,4987,21801
858107933456039936,3004,15952
857989990357356544,2662,16356
857746408056729600,10970,34825
857393404942143489,1690,6004
857263160327368704,4661,20343
857214891891077121,18,232
857062103051644929,177,0
857029823797047296,4137,19267
856602993587888130,11053,0
856543823941562368,2979,16556
856526610513747968,1942,12055
856330835276025856,702,0
856288084350160898,17,527
856282028240666624,6543,28242
855862651834028034,28,352
855860136149123072,1069,5146
855857698524602368,2191,12081
855851453814013952,18345,46331
855818117272018944,5632,27144
855459453768019968,8533,30576
855245323840757760,6215,0
855138241867124737,48,0
854732716440526848,6362,23380
854482394044301312,7163,30041
854365224396361728,4888,19365
854120357044912130,7816,32772
854010172552949760,3297,16618
853760880890318849,6067,29359
853639147608842240,10610,35818
853299958564483072,3739,15955
852936405516943360,2109,0
852912242202992640,1929,9322
852672615818899456,2264,15362
852553447878664193,3695,16871
852311364735569921,10388,34144
852226086759018497,7149,20624
852189679701164033,1666,11826
851953902622658560,10151,0
851861385021730816,23,0
851591660324737024,3657,16735
851464819735769094,7455,25089
851224888060895234,6034,21376
850753642995093505,9800,32104
850380195714523136,2764,13518
850333567704068097,352,3550
850145622816686080,4048,16910
850019790995546112,5177,21199
849776966551130114,8038,31593
849668094696017920,5249,0
849412302885593088,3326,16464
849336543269576704,1997,11846
849051919805034497,9033,44103
848690551926992896,4578,26182
848324959059550208,4885,25715
848213670039564288,794,8482
848212111729840128,3262,16962
847978865427394560,3460,0
847971574464610304,457,0
847962785489326080,5415,24451
847842811428974592,1428,5702
847617282490613760,451,7295
847606175596138505,3608,19541
847251039262605312,4567,21292
847157206088847362,6225,20797
847116187444137987,3396,22313
846874817362120707,4181,20945
846514051647705089,12362,46572
846505985330044928,3295,14743
846153765933735936,9660,33081
846139713627017216,10512,32204
846042936437604353,3084,16675
845812042753855489,9330,30605
845677943972139009,5101,26217
845397057150107648,1935,7969
845306882940190720,5754,24356
845098359547420673,8180,0
844979544864018432,2756,14252
844973813909606400,3437,15804
844704788403113984,11053,40482
844580511645339650,3363,17230
844223788422217728,2347,14259
843981021012017153,3123,15817
843856843873095681,4949,22402
843604394117681152,2947,17684
843235543001513987,6479,22487
842846295480000512,3849,15929
842765311967449089,1363,7073
842535590457499648,3751,18962
842163532590374912,6215,25656
842115215311396866,3247,14685
841833993020538882,16451,0
841680585030541313,8311,26877
841439858740625411,3934,13250
841320156043304961,5824,20718
841314665196081154,5032,16603
841077006473256960,5698,24021
840761248237133825,1885,0
840728873075638272,17402,0
840698636975636481,2,188
840696689258311684,1053,12914
840632337062862849,1885,9416
840370681858686976,4895,17291
840268004936019968,6163,20256
839990271299457024,2471,14122
839549326359670784,8371,28940
839290600511926273,154,0
839239871831150596,7034,28603
838952994649550848,4276,20633
838921590096166913,2234,11753
838916489579200512,36,0
838831947270979586,11913,0
838561493054533637,1426,11487
838476387338051585,5195,23786
838201503651401729,10885,0
838150277551247360,354,1769
838085839343206401,0,149
838083903487373313,3397,18572
837820167694528512,8480,36021
837482249356513284,476,4040
837471256429613056,2477,13478
837366284874571778,5714,22267
837110210464448512,2589,16886
836989968035819520,2477,13414
836753516572119041,4981,20273
836677758902222849,2397,13292
836648853927522308,592,0
836397794269200385,29828,0
836380477523124226,3194,15515
836260088725786625,4632,22418
836001077879255040,4636,20160
835685285446955009,8824,0
835574547218894849,3915,18777
835536468978302976,1842,0
